name,action-time-start,action-time-end,action-total-seconds,cycle
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713198577.1453245,1713198577.2540843,0.10876,2
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713198577.17369,1713198577.3336368,0.15995,2
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713198587.1406069,1713198587.2576263,0.11702,2
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713198587.1689317,1713198587.3256729,0.15674,2
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713198597.1438835,1713198597.2810664,0.13718,2
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713198597.17343,1713198597.3293095,0.15588,2
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713198607.14648,1713198607.2829342,0.13645,2
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713198607.1751707,1713198607.306414,0.13124,2
split-data-between-workers,1713198607.584756,1713198613.203324,5.61857,2
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713198617.2035847,1713198617.3804734,0.17689,2
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713198617.1982124,1713198617.3509738,0.15276,2
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713198627.143458,1713198627.2641506,0.12069,2
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713198627.174571,1713198627.3179672,0.1434,2
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713198637.1406858,1713198637.2224889,0.0818,2
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713198637.16507,1713198637.2628827,0.09781,2
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713198647.1708584,1713198647.2763672,0.10551,2
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713198647.1477678,1713198647.318017,0.17025,2
send-context-to-workers,1713198647.732837,1713198655.9299512,8.19711,2
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713198657.177106,1713198657.3241534,0.14705,2
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713198657.1471288,1713198657.2647839,0.11766,2
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713198667.145316,1713198667.260132,0.11482,2
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713198667.1699202,1713198667.3271906,0.15727,2
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713198677.1410515,1713198677.2570732,0.11602,2
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713198677.1645162,1713198677.315797,0.15128,2
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713198687.1431758,1713198687.2621179,0.11894,2
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713198687.1700034,1713198687.341293,0.17129,2
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713198697.1645734,1713198697.291492,0.12692,2
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713198697.5115628,1713198697.564775,0.05321,2
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713198707.2155325,1713198707.3281653,0.11263,2
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713198707.454756,1713198707.5856068,0.13085,2
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713198717.1921158,1713198717.3210964,0.12898,2
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713198717.274168,1713198717.3942041,0.12004,2
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713198727.2217975,1713198727.3461714,0.12437,2
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713198727.5029826,1713198727.5716414,0.06866,2
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713198737.1704915,1713198737.2971373,0.12665,2
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713198737.495891,1713198737.5489051,0.05301,2
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713198747.18503,1713198747.326184,0.14115,2
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713198747.1586587,1713198747.293991,0.13533,2
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713198757.141254,1713198757.2545967,0.11334,2
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713198757.1676803,1713198757.3691442,0.20146,2
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713198767.1467233,1713198767.2648635,0.11814,2
update-from-worker-<built-in function id>,1713198767.1798577,1713198767.5265357,0.34668,2
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713198767.1780663,1713198767.5613718,0.38331,2
update-from-worker-<built-in function id>,1713198767.2027874,1713198767.4639354,0.26115,2
update-global-model,1713198767.5859077,1713198768.2800653,0.69416,2
evaluate-global-model,1713198768.5527177,1713198771.8410711,3.28835,2
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713198777.147188,1713198777.2522967,0.10511,3
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713198777.175767,1713198777.3232455,0.14748,3
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713198787.1414535,1713198787.258918,0.11746,3
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713198787.168287,1713198787.3273478,0.15906,3
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713198797.1408443,1713198797.2754712,0.13463,3
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713198797.1656816,1713198797.3180172,0.15234,3
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713198807.1748166,1713198807.3183923,0.14358,3
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713198807.1434374,1713198807.260815,0.11738,3
split-data-between-workers,1713198807.585552,1713198812.9544663,5.36891,3
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713198817.1696754,1713198817.3071067,0.13743,3
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713198817.1741736,1713198817.3350158,0.16084,3
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713198827.1413162,1713198827.255765,0.11445,3
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713198827.1725912,1713198827.342906,0.17031,3
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713198837.1495981,1713198837.2937987,0.1442,3
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713198847.1503701,1713198847.2689695,0.1186,3
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713198847.1730719,1713198847.3370922,0.16402,3
send-context-to-workers,1713198847.688607,1713198856.0930574,8.40445,3
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713198857.1665032,1713198857.2793388,0.11284,3
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713198857.1991913,1713198857.3354833,0.13629,3
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713198867.1525161,1713198867.2953289,0.14281,3
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713198867.1792681,1713198867.4599445,0.28068,3
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713198877.1404703,1713198877.2554812,0.11501,3
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713198877.1704228,1713198877.3228688,0.15245,3
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713198887.1487393,1713198887.2822812,0.13354,3
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713198887.173346,1713198887.316082,0.14274,3
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713198897.1430233,1713198897.2579257,0.1149,3
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713198897.1768756,1713198897.3275282,0.15065,3
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713198907.1451318,1713198907.2957258,0.15059,3
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713198907.1733608,1713198907.3229592,0.1496,3
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713198917.1413338,1713198917.276187,0.13485,3
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713198917.1686392,1713198917.3040326,0.13539,3
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713198927.144472,1713198927.26596,0.12149,3
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713198927.1775002,1713198927.3407764,0.16328,3
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713198937.2156563,1713198937.3316276,0.11597,3
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713198937.2576432,1713198937.4033349,0.14569,3
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713198947.2773745,1713198947.4780931,0.20072,3
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713198947.2176716,1713198947.371036,0.15336,3
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713198957.1662025,1713198957.3310804,0.16488,3
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713198957.4960966,1713198957.6392055,0.14311,3
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713198967.153352,1713198967.2874258,0.13407,3
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713198967.491024,1713198967.5594716,0.06845,3
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713198977.1653852,1713198977.281918,0.11653,3
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713198977.2355554,1713198977.343999,0.10844,3
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713198987.2086413,1713198987.326683,0.11804,3
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713198987.5125914,1713198987.6301033,0.11751,3
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713198997.1438015,1713198997.209874,0.06607,3
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713198997.1843922,1713198997.3483987,0.16401,3
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713199007.1505902,1713199007.342295,0.1917,3
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713199007.182209,1713199007.39632,0.21411,3
update-from-worker-<built-in function id>,1713199007.1975014,1713199007.5236127,0.32611,3
update-from-worker-<built-in function id>,1713199007.2252524,1713199007.5743437,0.34909,3
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713199017.1468732,1713199017.2719703,0.1251,3
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713199017.1727037,1713199017.3406458,0.16794,3
update-global-model,1713199017.5854952,1713199018.145976,0.56048,3
evaluate-global-model,1713199018.1924582,1713199021.6360645,3.44361,3
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713199027.1417565,1713199027.240073,0.09832,4
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713199027.1696084,1713199027.3150094,0.1454,4
store-worker-66e8acb0-574e-4392-a8ab-cdcb9fca760a,1713199037.1402302,1713199037.251336,0.11111,4
store-worker-e773520a-073e-4b2e-8f27-15275cfd8d4e,1713199037.1713245,1713199037.3287885,0.15746,4
