name,date,time,cpu-percent,ram-resident-set-size-bytes,ram-virtual-memory-size-bytes,ram-shared-memory-bytes,ram-code-segment-size-bytes,ram-data-segment-size-bytes,ram-library-size-bytes,ram-dirty-pages-bytes,ram-unique-set-size-bytes,disk-read-bytes,disk-write-bytes,disk-read-characters-bytes,disk-write-characters-bytes,cycle
server,2024-04-15-16:27:32.714809,1713198452.7148776,39.9,658878464,2995691520,141950976,4096,1500762112,0,0,645410816,112357376,11046912,101372300,10717049,1
server,2024-04-15-16:27:37.722762,1713198457.7228334,59.5,658878464,2995691520,141950976,4096,1500762112,0,0,645410816,112357376,11046912,101390247,10717254,1
server,2024-04-15-16:27:42.704502,1713198462.7045653,49.9,658878464,2995691520,141950976,4096,1500762112,0,0,645410816,112357376,11046912,101392034,10717254,1
server,2024-04-15-16:27:47.725247,1713198467.7253098,76.0,658878464,2995691520,141950976,4096,1500762112,0,0,645410816,112357376,11051008,101410155,10717763,1
server,2024-04-15-16:27:52.711315,1713198472.711385,59.7,658878464,2995691520,141950976,4096,1500762112,0,0,645410816,112357376,11051008,101411942,10717763,1
server,2024-04-15-16:27:57.724084,1713198477.7241886,58.7,658878464,2995691520,141950976,4096,1500762112,0,0,645410816,112357376,11051008,101429889,10718133,1
server,2024-04-15-16:28:02.716853,1713198482.7169526,49.5,658878464,2995691520,141950976,4096,1500762112,0,0,645410816,112357376,11051008,101431676,10718133,1
server,2024-04-15-16:28:07.717890,1713198487.7179785,29.9,658878464,2995691520,141950976,4096,1500762112,0,0,645410816,112357376,11055104,101449623,10718491,1
server,2024-04-15-16:28:12.722137,1713198492.7222228,59.2,658878464,2995691520,141950976,4096,1500762112,0,0,645410816,112357376,11055104,101451410,10718491,1
server,2024-04-15-16:28:17.712338,1713198497.7124033,49.8,658878464,2995691520,141950976,4096,1500762112,0,0,645410816,112357376,11055104,101469358,10718696,1
server,2024-04-15-16:28:22.712758,1713198502.7128139,59.8,658878464,2995691520,141950976,4096,1500762112,0,0,645410816,112357376,11055104,101471145,10718696,1
server,2024-04-15-16:28:27.737483,1713198507.7376018,73.7,658878464,2995707904,141950976,4096,1500778496,0,0,645419008,112357376,11059200,101489095,10718993,1
server,2024-04-15-16:28:32.715767,1713198512.7158241,19.9,658878464,2995691520,141950976,4096,1500762112,0,0,645410816,112357376,11059200,101490885,10719145,1
server,2024-04-15-16:28:37.709153,1713198517.709214,39.6,658878464,2995691520,141950976,4096,1500762112,0,0,645070848,112357376,11059200,101509009,10719574,1
server,2024-04-15-16:28:42.712983,1713198522.713053,19.9,658878464,2995691520,141950976,4096,1500762112,0,0,645070848,112357376,11059200,101510799,10719654,1
server,2024-04-15-16:28:47.716353,1713198527.716418,59.5,659140608,2995707904,141950976,4096,1500778496,0,0,645214208,112357376,11063296,101528749,10720219,1
server,2024-04-15-16:28:52.712600,1713198532.7126532,19.7,659140608,2995691520,141950976,4096,1500762112,0,0,645206016,112357376,11063296,101530539,10720367,1
server,2024-04-15-16:28:57.712353,1713198537.712406,58.1,659140608,2995691520,141950976,4096,1500786688,0,0,645357568,112357376,11063296,101548489,10720737,1
server,2024-04-15-16:29:02.719399,1713198542.7194514,19.5,659271680,2995691520,141950976,4096,1500786688,0,0,645451776,112357376,11063296,101550279,10720737,1
server,2024-04-15-16:29:07.731694,1713198547.7318163,67.6,659271680,2995707904,141950976,4096,1500807168,0,0,645484544,112357376,11063296,101579890,10721007,1
server,2024-04-15-16:29:12.712499,1713198552.7125647,19.9,659271680,2995707904,141950976,4096,1500807168,0,0,645496832,112357376,11063296,101581680,10721007,1
server,2024-04-15-16:29:17.711555,1713198557.7116234,69.4,659271680,2995707904,141950976,4096,1500807168,0,0,645496832,112357376,11063296,101599630,10721212,1
server,2024-04-15-16:29:22.715412,1713198562.7154768,19.9,659271680,2995707904,141950976,4096,1500807168,0,0,645496832,112357376,11063296,101601420,10721212,1
server,2024-04-15-16:29:27.736333,1713198567.736437,66.8,659271680,2995724288,141950976,4096,1500839936,0,0,645525504,112357376,11067392,101631204,10721800,1
server,2024-04-15-16:29:32.708491,1713198572.70855,89.6,663334912,2995757056,141950976,4096,1500872704,0,0,604581888,112357376,11075584,102703967,10724862,1
server,2024-04-15-16:29:37.714219,1713198577.7142847,39.6,663334912,2995724288,141950976,4096,1500844032,0,0,649732096,112357376,11075584,105877566,10725540,2
server,2024-04-15-16:29:42.718582,1713198582.718633,29.8,663334912,2995724288,141950976,4096,1500844032,0,0,649732096,112357376,11075584,105879356,10725540,2
server,2024-04-15-16:29:47.709521,1713198587.7095933,69.6,663334912,2995724288,141950976,4096,1500844032,0,0,649732096,112357376,11075584,105897307,10725745,2
server,2024-04-15-16:29:52.713308,1713198592.7133636,19.4,663334912,2995724288,141950976,4096,1500844032,0,0,649732096,112357376,11075584,105899097,10725745,2
server,2024-04-15-16:29:57.712934,1713198597.712992,59.4,663334912,2995724288,141950976,4096,1500860416,0,0,649736192,112357376,11079680,105917048,10726115,2
server,2024-04-15-16:30:02.710324,1713198602.7103891,39.3,663334912,2995724288,141950976,4096,1500860416,0,0,649736192,112357376,11079680,105918838,10726115,2
server,2024-04-15-16:30:07.716220,1713198607.716274,58.0,663334912,2995724288,141950976,4096,1500860416,0,0,649736192,112357376,11083776,105936789,10726401,2
server,2024-04-15-16:30:13.039032,1713198613.0390937,101.0,924508160,3330256896,141950976,4096,1762516992,0,0,537022464,112357376,11083776,105938753,10726401,2
