name,date,time,cpu-percent,ram-percent,ram-total-bytes,ram-free-bytes,ram-used-bytes,disk-total-bytes,disk-free-bytes,disk-used-bytes,network-sent-bytes,network-received-bytes,network-packets-sent,network-packets-received,network-packets-sending-errors,network-packets-reciving-errors,network-packets-outgoing-dropped,network-packets-incoming-dropped,cycle
system,2024-04-15-14:19:40.604848,1713190780.6049113,55.6,75.1,16650469376,600297472,11293077504,370490241024,96002883584,255592439808,317715883,215436277,40145,36896,0,0,0,0,3
system,2024-04-15-14:19:50.601256,1713190790.601317,38.3,75.1,16650469376,601374720,11294879744,370490241024,96002433024,255592890368,318044431,215691209,40443,37183,0,0,0,0,3
system,2024-04-15-14:20:00.600993,1713190800.60105,35.4,75.1,16650469376,601698304,11293769728,370490241024,96002002944,255593320448,318355354,215926299,40717,37451,0,0,0,0,3
system,2024-04-15-14:20:10.602229,1713190810.6023095,92.9,75.2,16650469376,581791744,11289522176,370490241024,96001536000,255593787392,318724711,216188910,41014,37738,0,0,0,0,3
system,2024-04-15-14:20:20.604275,1713190820.604363,97.6,76.9,16650469376,355287040,11369582592,370490241024,96001011712,255594311680,319135023,216526401,41375,38081,0,0,0,0,3
system,2024-04-15-14:20:30.612943,1713190830.6130824,100.0,76.8,16650469376,373317632,11402350592,370490241024,96000479232,255594844160,319459834,216769436,41632,38320,0,0,0,0,3
system,2024-04-15-14:20:40.613248,1713190840.6133366,100.0,76.5,16650469376,417079296,11385536512,370490241024,95999971328,255595352064,319807040,217046498,41920,38597,0,0,0,0,3
system,2024-04-15-14:20:50.614472,1713190850.6145444,94.9,76.6,16650469376,409145344,11383144448,370490241024,95999369216,255595954176,320192002,217360888,42233,38897,0,0,0,0,3
system,2024-04-15-14:21:00.607752,1713190860.6078618,93.1,76.7,16650469376,391081984,11397230592,370490241024,95998570496,255596752896,320602836,217697560,42565,39217,0,0,0,0,3
system,2024-04-15-14:21:10.604993,1713190870.6050808,98.8,76.5,16650469376,423030784,11385180160,370490241024,95998021632,255597301760,320967858,217985263,42837,39483,0,0,0,0,3
system,2024-04-15-14:21:20.604183,1713190880.604271,90.5,76.7,16650469376,385736704,11396263936,370490241024,95997263872,255598059520,321416997,218358279,43173,39807,0,0,0,0,3
system,2024-04-15-14:21:30.611049,1713190890.6111248,93.0,76.7,16650469376,380190720,11407798272,370490241024,95996612608,255598710784,321791632,218671231,43453,40078,0,0,0,0,3
system,2024-04-15-14:21:40.607588,1713190900.6076982,94.9,76.7,16650469376,378175488,11404447744,370490241024,95995834368,255599489024,322205484,219001213,43749,40364,0,0,0,0,3
system,2024-04-15-14:21:50.604743,1713190910.6048117,42.9,76.7,16650469376,347295744,11414429696,370490241024,95969742848,255625580544,322676068,219415331,44108,40706,0,0,0,0,3
system,2024-04-15-14:22:00.600905,1713190920.600963,20.0,76.8,16650469376,339210240,11418378240,370490241024,95969050624,255626272768,323092170,219739112,44396,40988,0,0,0,0,3
system,2024-04-15-14:22:10.608186,1713190930.6082783,62.8,76.8,16650469376,334057472,11418161152,370490241024,95968313344,255627010048,323504870,220085118,44685,41275,0,0,0,0,3
system,2024-04-15-14:22:20.604596,1713190940.6046607,40.2,76.8,16650469376,310837248,11421433856,370490241024,95950397440,255644925952,324180012,220682042,45194,41779,0,0,0,0,3
system,2024-04-15-14:22:30.611309,1713190950.61141,55.1,76.9,16650469376,333901824,11427250176,370490241024,95992500224,255602823168,324588977,221018032,45452,42029,0,0,0,0,3
system,2024-04-15-14:22:40.602837,1713190960.6029184,53.9,76.8,16650469376,357896192,11427631104,370490241024,95990185984,255605137408,326512481,222857119,46333,42898,0,0,0,0,4
system,2024-04-15-14:22:50.605057,1713190970.6051228,23.2,76.8,16650469376,358666240,11417362432,370490241024,95989776384,255605547008,326741734,223000830,46605,43174,0,0,0,0,4
