name,action-time-start,action-time-end,action-total-seconds,cycle
data-pipeline,1713194196.385658,1713194197.167248,0.78159,1
server-monitoring,1713194196.3727083,1713194197.735705,1.363,1
system-monitoring,1713194196.3801777,1713194197.7893252,1.40915,1
check-workers,1713194201.3503907,1713194201.4658215,0.11543,1
server-monitoring,1713194201.3531358,1713194201.5537636,0.20063,1
check-workers,1713194206.3653572,1713194206.5884361,0.22308,1
update-pipeline,1713194206.4088032,1713194206.9877424,0.57894,1
aggregation-pipeline,1713194206.4163823,1713194207.3345008,0.91812,1
system-monitoring,1713194206.403349,1713194207.7961133,1.39276,1
server-monitoring,1713194206.385078,1713194208.0131025,1.62802,1
check-workers,1713194211.3653567,1713194211.8927438,0.52739,1
server-monitoring,1713194211.3727252,1713194211.9802027,0.60748,1
check-workers,1713194216.3504171,1713194216.4516473,0.10123,1
system-monitoring,1713194216.3531818,1713194216.574449,0.22127,1
server-monitoring,1713194216.3523967,1713194216.685963,0.33357,1
check-workers,1713194221.350513,1713194221.4536717,0.10316,1
server-monitoring,1713194221.3524823,1713194221.596134,0.24365,1
model-pipeline,1713194106.357167,1713194225.3970597,119.03989,1
check-workers,1713194226.3505154,1713194226.4173372,0.06682,1
model-pipeline,1713194226.3542142,1713194226.3923125,0.0381,1
data-pipeline,1713194226.3538952,1713194226.4534988,0.0996,1
system-monitoring,1713194226.3536363,1713194226.6704469,0.31681,1
server-monitoring,1713194226.353396,1713194226.697651,0.34425,1
check-workers,1713194231.3505359,1713194231.4579883,0.10745,1
server-monitoring,1713194231.3531466,1713194231.5741487,0.221,1
check-workers,1713194236.3503451,1713194236.4537594,0.10341,1
system-monitoring,1713194236.3532398,1713194236.5677714,0.21453,1
server-monitoring,1713194236.3529444,1713194236.616234,0.26329,1
check-workers,1713194241.350445,1713194241.4470563,0.09661,1
server-monitoring,1713194241.353133,1713194241.586569,0.23344,1
check-workers,1713194246.350538,1713194246.4494512,0.09891,1
system-monitoring,1713194246.3537693,1713194246.5821779,0.22841,1
server-monitoring,1713194246.3532047,1713194246.7463284,0.39312,1
check-workers,1713194251.3501036,1713194251.4447594,0.09466,1
server-monitoring,1713194251.3521414,1713194251.5418158,0.18967,1
check-workers,1713194261.3500617,1713194261.43981,0.08975,1
server-monitoring,1713194261.3515115,1713194261.549046,0.19753,1
check-workers,1713194271.350232,1713194271.4504838,0.10025,1
server-monitoring,1713194271.3525944,1713194271.5581422,0.20555,1
